N,time,time,time,time,time
1,0.6505429745,0.6316304207,0.6312737465,0.6267957687,0.6262321472
2,0.6246805191,0.6463737488,0.6330292225,0.6292533875,0.6389064789
3,0.6390013695,0.6282627583,0.6423952579,0.6415688992,0.6647474766
4,0.6589879990,0.6359965801,0.6351399422,0.6361808777,0.6354486942
5,1.8537299633,1.8493280411,1.8055326939,2.1496796608,2.1621971130
6,1.8737354279,1.8512649536,1.8733081818,1.8530735970,1.8600754738
7,1.8488566875,1.8560287952,1.8588514328,1.8829960823,1.8536765575
8,1.6275210381,2.0181522369,2.1321303844,1.9074866772,1.9185631275
9,1.8891026974,1.9249014854,1.9430577755,1.8545389175,1.9707679749
10,1.8938848972,1.8002455235,1.3833987713,1.4437687397,1.4210200310
11,1.4205210209,1.4481618404,1.4595744610,1.4521262646,1.4563772678
12,1.4335780144,0.7478957176,0.7287001610,0.7324655056,0.7280492783
