N,time,time,time,time,time
1,0.6568927765,0.6826157570,0.6365296841,0.6290607452,0.6247978210
2,0.4630599022,0.3557598591,0.4977743626,0.3635327816,0.4463186264
3,0.2119235992,0.2206592560,0.2504904270,0.2700669765,0.2997055054
4,0.2294945717,0.1608884335,0.1587278843,0.1603319645,0.2725541592
5,0.4879581928,0.3600840569,0.3661594391,0.4877440929,0.5153129101
6,0.3040635586,0.4983413219,0.4036533833,0.2930378914,0.3024897575
7,0.2665371895,0.2556045055,0.2555963993,0.2661244869,0.2677946091
8,0.2219984531,0.2331554890,0.2345302105,0.2232236862,0.2220845222
9,0.1666071415,0.2719089985,0.2230467796,0.2029345036,0.2024867535
10,0.1744661331,0.1735787392,0.1622383595,0.1741714478,0.1734812260
11,0.1524264812,0.1669816971,0.1878085136,0.1664617062,0.1673464775
12,0.1408376694,0.1296317577,0.1287670135,0.1520445347,0.1296734810
