N,time,time,time,time,time
1,71.7505023479,72.3411395550,71.8189725876,73.2917973995,72.6537981033
2,71.8532161713,72.4219162464,72.7743923664,64.2947146893,63.4749567509
3,64.8498001099,63.2892343998,67.7482147217,62.8941700459,69.0651364326
4,65.5903398991,63.4891834259,64.5064706802,64.2291388512,70.1875858307
5,228.4960894585,164.2821850777,143.8237154484,102.5695185661,75.5591845512
6,71.9439043999,72.7933926582,73.5499846935,72.7071554661,72.8321905136
7,88.3087060452,83.7779312134,80.7115001678,84.4312331676,73.1881558895
8,74.1066963673,73.2904069424,72.8490865231,72.9231548309,72.8278930187
9,73.4933879375,72.9622354507,72.9176056385,72.8029944897,73.1667833328
10,77.7199409008,74.5925676823,82.9389314651,82.8146674633,77.9685618877
11,72.9510209560,79.7345027924,73.6423501968,73.6462724209,81.2729763985
12,90.6179471016,72.3190393448,76.7253680229,136.4568319321,85.9119005203
