N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,65.0880098343,66.4383709431,67.2612748146,65.1291990280,64.4902870655,64.6324510574,65.5926430225,66.4395670891,65.3731029034,66.6464459896,67.1486201286,64.6842880249,64.7731699944,68.8950548172,67.7654230595,66.0180041790,65.2849130630,65.1417188644,65.8093140125,65.2088179588,64.7364051342,65.3051021099,66.1837291718,65.3417239189,66.2103559971,66.2123849392,65.1310567856,64.5259258747,66.5508530140,64.5994219780
2,65.0524919033,67.8962879181,65.8940780163,65.6358890533,67.5101389885,64.8666229248,65.7224280834,66.3578472137,68.6665289402,66.6550829411,66.9861021042,71.5789830685,67.9394540787,65.7499442101,65.2486681938,65.6611588001,66.5857210159,66.3393580914,66.4912071228,65.0722339153,66.3536090851,66.9559540749,68.7412750721,65.3001060486,66.4844748974,67.0327529907,66.2468299866,65.5678319931,66.4176599979,66.2412390709
3,70.3330841064,66.2579491138,67.1224770546,65.7467479706,67.4501891136,66.0257451534,68.3992419243,68.4777541161,65.8124721050,65.9183290005,69.3139288425,66.0507659912,66.9062089920,66.6846599579,66.7400228977,66.0504798889,66.9816660881,66.4039900303,65.3472330570,66.4982340336,67.0223989487,65.8631448746,66.7724490166,67.4587249756,66.5968220234,69.4710140228,67.9679648876,68.2833321095,66.1843299866,66.2221758366
4,67.5116281509,68.0565781593,69.3656949997,66.7638940811,67.1543579102,66.7301809788,68.2499680519,69.2897119522,66.2630620003,66.3633460999,68.2756087780,65.6299920082,66.9962549210,65.7576820850,66.5344240665,67.3288321495,66.4928569794,66.7418351173,67.0662460327,67.2705149651,69.1765980721,66.6080830097,66.3907508850,67.8188948631,67.6880300045,68.6775031090,66.1859071255,66.8269050121,66.8513569832,67.5761129856
5,68.3082451820,70.4432349205,67.7650899887,68.5971410275,67.8652210236,69.2907409668,68.3901991844,68.0819058418,68.6958968639,67.9665517807,70.5755460262,70.6519639492,68.8529148102,67.1803929806,68.0764420033,71.4804418087,69.5721998215,72.7743420601,69.5397429466,68.2165200710,69.0274159908,68.9825479984,68.4472711086,68.4805948734,69.2881369591,72.3925168514,70.2333660126,68.3395588398,71.9599239826,69.3782060146
6,72.3252830505,68.5451929569,71.3077480793,71.9538090229,73.5744500160,70.3800361156,72.1144800186,70.3538000584,69.6875159740,69.0898849964,69.0174438953,72.1505200863,70.7482800484,70.7068600655,69.0444440842,69.7637009621,69.5705969334,69.3668429852,69.7490777969,70.3267750740,70.6946268082,69.9791679382,69.3875420094,70.4790689945,70.1936430931,69.1749880314,71.7789189816,68.8867490292,69.5935199261,70.3030228615
7,70.8232469559,70.2719759941,70.4168949127,69.7959258556,68.7369971275,70.3075900078,68.8441710472,69.0008149147,71.5743730068,72.0316679478,69.7958631516,71.1458201408,72.1172158718,70.2806730270,69.3879752159,68.9264791012,70.0427238941,70.6536390781,71.3897740841,69.6897289753,70.5802481174,72.0105907917,69.4261200428,70.9863340855,70.2578790188,70.1498079300,69.9372148514,68.7832880020,71.7335321903,69.4197499752
8,71.3020789623,70.9776601791,68.1848559380,70.3950541019,70.2185001373,71.3848340511,70.6922268867,69.9229269028,69.4685761929,69.3097209930,70.1783819199,73.8947770596,71.5607278347,72.7022938728,68.6963100433,72.1643090248,72.3380970955,69.0002160072,71.9785640240,71.5153870583,73.4270339012,70.3901069164,72.2912290096,71.0716629028,70.0016689301,72.3187007904,70.8714771271,69.7827510834,71.3067920208,70.0519850254
9,72.0723769665,72.1087851524,70.9254429340,70.2841100693,69.9632408619,70.0371820927,69.0414030552,71.5439498425,72.8681209087,71.2879559994,71.6870808601,69.5675339699,69.9398739338,73.4757268429,71.5148031712,70.3239932060,72.3722579479,70.4255959988,70.4242820740,69.7449409962,71.9469890594,69.6837589741,70.0058810711,72.5100409985,70.8146798611,71.3481340408,68.6540610790,70.2465279102,69.5944259167,69.7439398766
10,70.4038310051,72.9810171127,71.5740730762,71.5202519894,69.1053011417,71.2548451424,71.9261381626,72.0554480553,70.7199540138,72.7014570236,73.6404800415,73.1123139858,72.7212100029,69.2864060402,69.8946130276,71.9078140259,70.4910619259,72.3548741341,69.2339560986,72.0057291985,69.4431869984,70.9197399616,70.3024470806,70.4787518978,72.3076081276,72.2878959179,69.0641808510,72.3531160355,70.8980388641,70.9614861012
11,73.5309619904,72.8891649246,71.3872399330,71.3809671402,74.6110029221,73.0261759758,72.5849850178,72.8850522041,70.6057939529,73.1751899719,72.0898001194,72.9980890751,73.3551990986,72.6046609879,72.9750080109,71.2549870014,72.4456410408,71.8944950104,73.1445260048,72.3961241245,72.4301729202,71.8213949203,74.3240489960,73.9161548615,73.6142129898,71.8626451492,72.4242110252,72.9334981441,71.0834801197,71.4525749683
12,72.7388150692,75.5820801258,72.2606129646,72.3175139427,72.7601389885,72.3392710686,72.2299818993,73.8540389538,74.6184051037,72.2050471306,74.2535429001,74.6019489765,73.5241780281,73.7712690830,71.8568861485,72.0398809910,72.1029229164,73.8066489697,72.3194379807,72.8383979797,73.2219440937,73.6088931561,74.3161969185,74.2799448967,75.1858980656,73.8414099216,74.0458810329,73.1723670959,73.1088061333,73.9806458950
