N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,6.4931468964,6.4753088951,6.5043599606,6.5417599678,6.5072231293,6.4704840183,6.4505410194,6.4569330215,6.4969620705,6.5430970192,6.5569269657,6.4889230728,6.4661400318,6.5323729515,6.5252480507,6.5381228924,6.6562790871,6.5920028687,6.4907059669,6.5693402290,6.6551649570,6.4907720089,6.4751760960,6.4532871246,6.6281340122,6.5231561661,6.5054590702,6.4631171227,6.8394198418,6.4412908554
2,6.6101369858,6.7126917839,6.5525319576,6.5624480247,6.6077959538,6.5856709480,6.6365950108,6.5605518818,6.4888269901,6.5093178749,6.9072329998,6.6336169243,6.5815100670,6.6860840321,6.5123620033,6.4787490368,6.5423688889,6.5111141205,6.4989781380,6.5388231277,6.6837198734,6.6986448765,6.6290020943,6.6804230213,6.7474589348,6.8535821438,6.6315908432,6.4767658710,6.5947141647,6.5677878857
3,6.6169331074,6.6898488998,6.6131658554,6.5822670460,6.7868111134,6.7646818161,6.9348499775,6.8200659752,6.6584520340,6.7082850933,6.6208598614,6.6068630219,6.8074188232,6.5740139484,6.5026400089,6.5941698551,6.6237261295,6.5132451057,6.5743279457,6.5560848713,6.7530100346,6.8016040325,6.6941320896,6.5833950043,6.6900229454,6.8380320072,6.7486078739,6.9613490105,6.7251482010,6.7080769539
4,6.9255387783,6.5949139595,6.6111800671,6.8824281693,6.7051329613,6.6817500591,6.9202320576,6.6225359440,6.7457220554,6.6728780270,6.6130230427,6.5720789433,6.5735278130,6.6918430328,6.8149600029,6.6559360027,6.7776610851,6.7156860828,6.6795020103,6.7513430119,6.7865638733,6.7296938896,6.5913281441,6.6267199516,6.6440699100,6.6994719505,6.8140749931,6.7416999340,6.7715559006,6.7295160294
5,6.8958251476,6.9733908176,6.9188997746,6.8561758995,6.8817279339,6.8337390423,6.8486809731,6.8310120106,6.9252531528,7.1246440411,6.9683420658,6.8881700039,6.9665949345,6.9305801392,6.7633900642,6.9706661701,6.8167481422,6.9679820538,6.9332590103,6.8120651245,6.7566840649,6.8598289490,6.7971358299,6.8406131268,6.7897689342,6.9791479111,6.9267971516,7.0315880775,7.2504010201,7.1003458500
6,6.9378681183,6.9617741108,6.9574441910,6.9534959793,7.0543458462,7.2619898319,7.2103650570,6.9517409801,6.9602279663,7.1971690655,6.9923398495,7.1795039177,7.1167860031,7.3190529346,6.8922801018,7.0908079147,6.9204678535,6.9046969414,6.9296240807,7.2128241062,7.0160770416,7.2533638477,6.9183669090,7.0585451126,7.0769169331,6.9296810627,7.0890641212,6.9515960217,6.9055669308,7.2424409389
7,7.1516590118,6.9175281525,6.9029669762,6.8647148609,7.1583778858,7.0097560883,7.2099270821,6.9571931362,7.1995260715,7.1021411419,7.0439219475,7.0288980007,6.9172921181,7.0657310486,6.9008271694,7.0733401775,6.9572770596,6.9872210026,6.9731171131,6.9236860275,6.9665000439,7.0730319023,7.0858581066,7.0037310123,6.9214990139,7.0787789822,7.3504760265,6.9905989170,6.9407460690,6.9089419842
8,7.0576660633,7.0986099243,7.1273159981,7.2478561401,7.2784099579,7.2415618896,6.9311771393,7.0798249245,7.0305399895,6.9722981453,7.2215659618,6.9818439484,7.0283770561,7.1355340481,7.0206301212,7.1355068684,7.2190358639,7.1958458424,6.9804069996,7.1072900295,7.0736558437,7.0424768925,7.1559698582,7.0006740093,7.2628080845,6.9413239956,6.8987140656,7.2032189369,7.0078248978,6.9936091900
9,7.2520990372,6.9737808704,6.9945828915,7.1410019398,7.2507610321,6.9913408756,7.0371470451,7.1243498325,6.9082949162,7.0835368633,6.9528617859,6.9752268791,7.0603339672,7.1771171093,6.9229178429,6.9641938210,7.0787699223,7.1518971920,6.9655010700,7.1689910889,7.2305121422,6.9337680340,7.1583440304,7.1148250103,6.8827099800,7.1416451931,7.0761229992,6.9284310341,7.1691219807,7.1667160988
10,7.0964360237,6.9825079441,6.9886829853,6.9093120098,6.9716629982,6.9684109688,6.9194500446,7.1028499603,7.1682069302,6.9403247833,7.1180288792,7.0303740501,7.0359818935,7.2065660954,6.9502930641,7.1645720005,6.9722929001,7.0741150379,7.0116090775,7.2661819458,7.0362827778,7.1229050159,7.1528410912,7.4011130333,7.1266710758,7.0280261040,7.0823869705,7.2451078892,6.9129040241,7.1370749474
11,7.5668280125,7.0182559490,7.1421699524,7.0426650047,7.1321499348,7.3662381172,7.1163198948,7.2864251137,7.2750029564,7.3293781281,7.2306320667,7.1440150738,7.0311090946,7.1633088589,7.1626610756,7.5179660320,7.1601338387,7.1059491634,7.0979061127,7.0359721184,7.2551088333,7.0536961555,7.1858570576,7.0499830246,7.2147090435,7.2458138466,7.2297630310,7.1378660202,7.0104410648,7.3218262196
12,7.1932909489,7.3884849548,7.1746101379,7.3930418491,7.1647918224,7.4589781761,7.4887320995,7.1661689281,7.1632940769,7.2756099701,7.0987210274,7.3958871365,7.3205289841,7.2739601135,7.2993559837,7.4290719032,7.4132161140,7.3762779236,7.3493268490,7.2944030762,7.2541999817,7.3965358734,7.3627519608,7.3572208881,7.3194699287,7.3161098957,7.2245359421,7.3024978638,7.4079251289,7.3531970978
