N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,0.6535868645,0.6486210823,0.6583409309,0.6519532204,0.6578650475,0.6531639099,0.6540770531,0.6523520947,0.6485939026,0.6599030495,0.6487829685,0.6586270332,0.6472909451,0.6580641270,0.6502399445,0.6508600712,0.6590390205,0.6440100670,0.6500010490,0.6505239010,0.6460978985,0.6538259983,0.6503608227,0.6487131119,0.6486968994,0.6487519741,0.6580741405,0.6512780190,0.6523587704,0.6533808708
2,0.3241641521,0.3274869919,0.3332989216,0.3272359371,0.3387110233,0.3347430229,0.3291130066,0.3324930668,0.3274180889,0.3243470192,0.3356931210,0.3278260231,0.3254618645,0.3281481266,0.3434979916,0.3254220486,0.3263401985,0.3294880390,0.3297131062,0.3281159401,0.3275008202,0.3263459206,0.3300969601,0.3256020546,0.3284299374,0.3292689323,0.3315861225,0.3290398121,0.3298208714,0.3292860985
3,0.2237639427,0.2205889225,0.2294330597,0.2249441147,0.2307729721,0.2272009850,0.2288138866,0.2257990837,0.2292661667,0.2215878963,0.2200541496,0.2206199169,0.2195699215,0.2252309322,0.2267701626,0.2270331383,0.2317340374,0.2269618511,0.2279019356,0.2250938416,0.2228040695,0.2247660160,0.2285540104,0.2265980244,0.2242901325,0.2335760593,0.2275371552,0.2262821198,0.2339799404,0.2251570225
4,0.1702570915,0.1710321903,0.1705529690,0.1700890064,0.1730720997,0.1711449623,0.1718251705,0.1730539799,0.1711640358,0.1707229614,0.1755471230,0.1720149517,0.1665201187,0.1727800369,0.1744968891,0.1733279228,0.1675050259,0.1698701382,0.1735208035,0.1744279861,0.1703000069,0.1805331707,0.1746549606,0.1711127758,0.1709890366,0.1680321693,0.1702258587,0.1728429794,0.1714799404,0.1721570492
5,0.1399290562,0.1419610977,0.1370680332,0.1402821541,0.1401932240,0.1410090923,0.1459660530,0.1392798424,0.1385929585,0.1398379803,0.1393828392,0.1417088509,0.1372079849,0.1486790180,0.1397988796,0.1401319504,0.1422379017,0.1397948265,0.1473968029,0.1453540325,0.1381280422,0.1376531124,0.1380541325,0.1420381069,0.1401619911,0.1411979198,0.1416981220,0.1387550831,0.1419689655,0.1382968426
6,0.1170251369,0.1168930531,0.1152749062,0.1158058643,0.1160788536,0.1154069901,0.1182320118,0.1181259155,0.1147348881,0.1159539223,0.1171619892,0.1142561436,0.1179640293,0.1173458099,0.1172881126,0.1173000336,0.1148641109,0.1195988655,0.1148231030,0.1178390980,0.1180000305,0.1196279526,0.1151630878,0.1168529987,0.1165499687,0.1169040203,0.1174440384,0.1175961494,0.1179680824,0.1151118279
7,0.0984311104,0.0995600224,0.0981190205,0.0977599621,0.1004559994,0.1127150059,0.1000168324,0.1089460850,0.1025750637,0.1222100258,0.1035819054,0.1026709080,0.1170539856,0.0990521908,0.0995631218,0.0983121395,0.0996978283,0.0992059708,0.0983419418,0.1101510525,0.1084671021,0.0971610546,0.1001951694,0.1023421288,0.1019978523,0.1073851585,0.0996978283,0.1098630428,0.1019408703,0.1000778675
8,0.0882420540,0.0967049599,0.1037299633,0.0881090164,0.0916540623,0.0881590843,0.0956687927,0.1401510239,0.0864551067,0.0908758640,0.0886170864,0.0892050266,0.0881710052,0.0868568420,0.0872631073,0.0884549618,0.0868730545,0.0878090858,0.0879960060,0.1048212051,0.0878949165,0.0871660709,0.0907120705,0.0876359940,0.0878980160,0.0857329369,0.0870749950,0.0873830318,0.1085059643,0.0893571377
9,0.0864732265,0.0767931938,0.0774290562,0.0781002045,0.0780580044,0.0776979923,0.0892479420,0.0817639828,0.0815501213,0.0926361084,0.0782048702,0.0781199932,0.0774700642,0.0783498287,0.0764000416,0.0789887905,0.0763361454,0.0808749199,0.0787460804,0.0790538788,0.0839238167,0.0782861710,0.0775389671,0.0802772045,0.0789668560,0.0834419727,0.0783438683,0.0779221058,0.0776140690,0.0785009861
10,0.0705349445,0.0707800388,0.0705111027,0.0706770420,0.0716490746,0.0693511963,0.0731608868,0.0699160099,0.0705411434,0.0719590187,0.0738389492,0.0979070663,0.0711729527,0.0804269314,0.0703341961,0.0695030689,0.0695800781,0.0704441071,0.0700609684,0.0719108582,0.0706231594,0.0694990158,0.0792551041,0.0706529617,0.0712540150,0.0846371651,0.0696101189,0.0695571899,0.0703830719,0.0703260899
11,0.0892169476,0.0637841225,0.0644209385,0.0646169186,0.0642249584,0.0636870861,0.0633211136,0.0631759167,0.0632469654,0.0638518333,0.0651381016,0.0635659695,0.0647420883,0.0641601086,0.0685589314,0.0641679764,0.0640048981,0.0648479462,0.0810940266,0.0675809383,0.0639510155,0.0649309158,0.0640890598,0.0646941662,0.0648300648,0.0635471344,0.0629370213,0.0637109280,0.0896189213,0.0648529530
12,0.0582458973,0.0687069893,0.0775980949,0.0698719025,0.0747029781,0.0580840111,0.0593461990,0.0590069294,0.0601711273,0.0696549416,0.0887510777,0.0593769550,0.0581061840,0.0784339905,0.0577859879,0.0594050884,0.0599119663,0.0717470646,0.0591449738,0.0646071434,0.0598959923,0.0588300228,0.0579690933,0.0611820221,0.0581960678,0.0781211853,0.0593829155,0.0603659153,0.0611219406,0.0610620975
