N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,64.8024179935,64.9077780247,65.8737659454,65.0543971062,64.8474731445,65.4015629292,64.9632630348,65.6512680054,64.7320141792,67.2190470695,64.9163451195,65.1658492088,67.9238641262,64.7343418598,65.7356610298,65.0132949352,64.6116778851,65.7217428684,64.5150580406,64.6613938808,64.8779909611,64.8851561546,64.5229170322,65.2885220051,65.1317949295,65.2064101696,68.1764469147,67.2453329563,66.3475070000,64.5199298859
2,32.5895791054,32.7008609772,32.6420888901,32.7078359127,33.1371128559,34.7301990986,34.2552330494,33.9024310112,32.4936909676,32.3770041466,33.2052440643,32.6033320427,34.3253197670,33.1336019039,34.5626318455,32.9198288918,33.3228509426,32.6370379925,33.0313858986,34.8038449287,32.7029790878,34.6872041225,32.9408991337,32.6447207928,33.2659041882,33.3944549561,34.7394411564,32.5482599735,34.0469222069,32.6673419476
3,22.3244931698,22.6639091969,22.1853091717,23.0982751846,22.1950941086,21.8350570202,22.3783850670,23.0781259537,21.7535758018,22.3638169765,22.1714360714,22.5367071629,22.2726500034,22.3831291199,22.4032740593,22.0737540722,22.6810469627,22.7502570152,22.9681529999,22.5231339931,22.2516980171,22.4698169231,22.0849139690,22.4415531158,22.0498468876,22.0403630733,22.3034341335,22.4744181633,22.3138830662,21.9783258438
4,16.6514680386,17.1412320137,16.6185212135,17.1082639694,16.7812750340,16.5941731930,16.9247260094,16.9662950039,16.7480568886,17.2739620209,16.4721078873,17.0987839699,16.7549419403,16.7265129089,16.7285068035,16.7662668228,16.5826058388,17.2076179981,16.5571870804,16.5665540695,16.7956218719,16.6642830372,16.6340601444,17.1032841206,17.2859511375,16.5455088615,16.5826640129,16.3231739998,17.1284170151,16.6283180714
5,13.7800450325,13.6787729263,13.7406868935,13.8904459476,13.5285608768,13.5790648460,14.0516698360,14.1793351173,13.8854689598,13.5177810192,13.7896771431,13.9199249744,14.0187230110,14.4477210045,13.8745279312,13.6517310143,13.8095338345,13.6324989796,13.6860170364,13.6194660664,14.0117890835,13.7420899868,13.8382291794,13.8209240437,13.9023609161,13.5745458603,13.7277109623,13.7789878845,13.8063859940,14.0846991539
6,11.6741549969,11.5854377747,12.0636780262,11.9113588333,11.8946251869,11.5899291039,11.4908590317,11.7481420040,11.8119659424,11.9179470539,11.6481180191,11.7271378040,11.5969460011,11.6719172001,11.8906371593,11.5329430103,11.9598300457,12.0147991180,11.6686010361,11.6835780144,12.0198428631,11.5333850384,11.9623911381,12.2688059807,12.1884460449,11.8765881062,11.5323519707,11.9508209229,11.8879520893,11.7205910683
7,10.1536791325,10.2843699455,10.0324151516,10.1424629688,9.8675811291,9.9897799492,9.9643659592,10.2548508644,10.3655371666,10.0784678459,9.8249218464,9.9718959332,9.8127639294,9.8749859333,10.3031210899,9.9769740105,10.3696749210,9.9974679947,10.3969669342,9.9183590412,10.1692280769,10.0225961208,9.9410769939,10.3151249886,9.9205918312,10.5131011009,9.9425330162,9.9914119244,9.7700970173,9.7816698551
8,9.0446729660,8.9740538597,8.6237378120,8.7705221176,8.9510889053,8.8936910629,8.8119211197,9.0650019646,8.6664369106,8.7832109928,9.0069980621,8.9080879688,8.9810388088,8.6550409794,8.7783989906,8.8806278706,8.8527820110,8.9934678078,8.6201488972,8.8105189800,8.8797299862,9.1723630428,8.6983850002,8.8918879032,8.9557878971,8.7123508453,9.0506539345,8.8857069016,8.8506228924,8.7837040424
9,7.7812459469,7.7190470695,8.0238718987,8.1057629585,7.8571259975,7.7920558453,8.0733158588,7.8259480000,7.7700889111,7.7447130680,7.8000710011,7.8171541691,7.8094689846,7.8334920406,8.0483250618,7.6573219299,7.8848540783,7.9079668522,7.8366432190,7.9013531208,7.8982281685,7.7154569626,7.7748351097,7.7389128208,7.7720019817,7.9811949730,7.8574039936,7.6670401096,7.7611911297,7.9013428688
10,7.2216107845,7.2410938740,7.0832598209,7.0437369347,7.1037070751,7.0445230007,7.0013680458,7.0213100910,7.1453731060,7.0999500751,7.1954598427,7.0725231171,6.9225270748,7.1368930340,6.9508130550,6.9545180798,6.9941458702,7.2085969448,6.9714341164,7.0153439045,6.9054617882,6.9100329876,6.8979310989,7.1433470249,6.9980199337,7.2069120407,7.0489540100,7.1654460430,7.0494310856,7.1188180447
11,6.4937429428,6.7152950764,6.6644198895,6.7175707817,6.5407190323,6.4508090019,6.5860829353,6.4804279804,6.5842421055,6.6892299652,6.6379520893,6.5407619476,6.4294350147,6.6120548248,6.6511898041,6.5642759800,6.3513560295,6.4483530521,6.5263140202,6.6391720772,6.5507650375,6.5417461395,6.5565760136,6.4793589115,6.4928498268,6.4635241032,6.5343461037,6.6722109318,6.4311540127,6.7367210388
12,6.0494279861,6.0839462280,6.1374130249,6.1244771481,6.1543321609,5.9457831383,6.2948310375,6.1457059383,6.0728330612,5.9766149521,6.0727300644,6.1827499866,6.2294709682,6.0283241272,6.0890848637,6.0702240467,6.0463430882,6.3033030033,6.0550210476,6.0448100567,6.2088890076,6.1826372147,6.2387599945,6.1620628834,6.1303899288,5.9461538792,5.9592008591,5.9743809700,5.9959478378,6.0450150967
